,city,city_id,lat,max_temp,cloudiness,country,date,humidity,long,wind_speed
304,bharatpur,1276128,27.22,72.05,0,IN,1607227974,34,77.48,4.65
305,cururupu,3401148,-1.83,77.11,100,BR,1607227975,85,-44.87,3.53
306,dubbo,2168305,-32.25,78.8,0,AU,1607227975,31,148.62,16.11
307,tubigan,1681217,8.53,82.0,95,PH,1607227975,86,124.31,8.99
308,saint-georges,3579925,12.06,80.6,20,GD,1607227751,83,-61.75,11.41
309,carbonear,5916722,47.73,46.99,75,CA,1607227976,100,-53.21,13.87
310,ngunguru,2186111,-35.62,73.99,96,NZ,1607227687,48,174.5,5.01
311,olafsvik,3414079,64.89,30.65,100,IS,1607227976,97,-23.71,7.58
312,dingle,1714733,11.0,84.42,91,PH,1607227976,79,122.67,9.1
313,maragogi,3395458,-9.01,75.87,17,BR,1607227976,81,-35.22,8.93
314,shelburne,6145890,44.08,25.0,95,CA,1607227977,91,-80.2,10.45
315,kulachi,1172779,31.93,67.82,0,PK,1607227977,29,70.46,7.29
316,tevaitoa,4033375,-16.78,80.65,100,PF,1607227978,78,-151.5,16.75
317,jijiga,333795,9.35,64.27,0,ET,1607227978,55,42.8,2.04
318,bjornevatn,780643,69.67,28.4,54,NO,1607227978,74,29.98,34.45
319,aracati,3407378,-4.56,78.44,73,BR,1607227978,77,-37.77,10.76
320,chaiya,1153783,9.39,84.2,20,TH,1607227978,70,99.2,10.29
321,los llanos de aridane,2514651,28.66,62.6,75,ES,1607228069,77,-17.92,13.87
322,korla,1529376,41.76,30.0,83,CN,1607228069,81,86.15,2.19
323,savannah bight,3601402,16.45,78.01,100,HN,1607228069,94,-85.85,8.52
324,esmeraldas,3464008,-19.76,73.4,0,BR,1607228069,83,-44.31,8.05
325,talnakh,1490256,69.49,8.6,75,RU,1607228023,92,88.4,8.95
326,nevsehir,303830,38.92,24.8,0,TR,1607228070,92,34.67,4.7
327,tocache,3691324,-8.18,69.48,99,PE,1607228070,89,-76.51,0.45
328,bereda,3105522,43.27,37.99,84,ES,1607228070,100,-7.54,5.01
329,port lincoln,2063036,-34.73,64.18,78,AU,1607228071,52,135.87,24.27
330,pevek,2122090,69.7,9.3,100,RU,1607228071,92,170.31,7.02
331,rio gallegos,3838859,-51.62,59.0,0,AR,1607228071,58,-69.22,10.29
332,timra,2669047,62.49,37.4,100,SE,1607228071,93,17.33,5.82
333,ahipara,2194098,-35.17,67.24,65,NZ,1607228072,64,173.17,8.28
334,hambantota,1244926,6.12,82.4,40,LK,1607228072,88,81.12,4.7
335,san matias,3444105,-16.37,70.77,94,BO,1607228072,87,-58.4,5.41
336,gurupi,3461724,-11.73,73.54,80,BR,1607228073,91,-49.07,0.58
337,acarau,3408368,-2.89,79.39,100,BR,1607228073,81,-40.12,15.46
338,buala,2109528,-8.14,83.17,86,SB,1607228073,78,159.59,2.62
339,tommot,2015179,58.96,6.89,100,RU,1607228073,91,126.29,12.26
340,ryotsu,1853371,38.08,53.6,75,JP,1607228032,66,138.43,9.17
341,paragominas,3393106,-2.97,72.3,96,BR,1607227804,97,-47.48,3.02
342,aksarka,1512019,66.56,14.29,100,RU,1607228074,96,67.8,13.85
343,kaitangata,2208248,-46.28,57.0,100,NZ,1607228006,78,169.85,11.01
344,novyy urengoy,1496511,66.08,5.86,72,RU,1607228075,94,76.63,10.25
345,tiarei,4033356,-17.53,84.2,40,PF,1607228075,70,-149.33,11.41
